n,x_over_L,offset_wavefunction
2,0.2004008016032064,4.523507435299143
2,0.22044088176352702,4.540541404700558
2,0.24048096192384769,4.549016557232599
2,0.2605210420841683,4.548798699144645
2,0.280561122244489,4.539891279955018
2,0.3006012024048096,4.522435337832044
2,0.32064128256513025,4.496707266425889
2,0.34068136272545085,4.463114438510691
2,0.3607214428857715,4.422188755731262
2,0.3807615230460922,4.374578226586337
2,0.4008016032064128,4.32103670600074
2,0.42084168336673344,4.262411958947913
2,0.44088176352705405,4.199632237120836
2,0.4609218436873747,4.13369158119346
2,0.48096192384769537,4.0656340813935135
2,0.501002004008016,3.9965373456013706
2,0.5210420841683366,3.927495436737604
2,0.5410821643286573,3.8596015496049394
2,0.561122244488978,3.7939307014758104
2,0.5811623246492985,3.731522710499033
2,0.6012024048096192,3.673365731441865
2,0.6212424849699398,3.6203806094589943
2,0.6412825651302605,3.573406299627514
2,0.6613226452905812,3.5331865831118594
2,0.6813627254509017,3.500358290292093
2,0.7014028056112224,3.4754412173280187
2,0.721442885771543,3.4588298958180794
2,0.7414829659318637,3.4507873458704945
2,0.7615230460921844,3.4514409114991835
2,0.7815631262525049,3.4607802442859135
2,0.8016032064128256,3.478657467234938
2,0.8216432865731462,3.504789516225686
2,0.8416833667334669,3.5387626219894424
2,0.8617234468937875,3.580038861643357
2,0.8817635270541081,3.6279646760462034
2,0.9018036072144288,3.681781218113886
2,0.9218436873747494,3.7406363682416988
2,0.9418837675350701,3.803598226583705
2,0.9619238476953907,3.86966986855537
2,0.9819639278557113,3.9378051299239867
3,0.0,9.0
3,0.02004008016032064,9.103263796288719
3,0.04008016032064128,9.202854788067203
3,0.06012024048096192,9.295230802212547
3,0.08016032064128256,9.377106282183313
3,0.1002004008016032,9.445569146079336
3,0.12024048096192384,9.498184361252797
3,0.1402805611222445,9.533080551611189
3,0.16032064128256512,9.549016557232598
3,0.18036072144288576,9.545425578953862
3,0.2004008016032064,9.522435337832043
3,0.22044088176352702,9.480863532463536
3,0.24048096192384769,9.422188755731261
3,0.2605210420841683,9.348497905389946
3,0.280561122244489,9.262411958947913
3,0.3006012024048096,9.166992752825315
3,0.32064128256513025,9.065634081393513
3,0.34068136272545085,8.961940989198279
3,0.3607214428857715,8.859601549604939
3,0.3807615230460922,8.762255690340558
3,0.4008016032064128,8.673365731441866
3,0.42084168336673344,8.596093240212126
3,0.44088176352705405,8.53318658311186
3,0.4609218436873747,8.486883174048218
3,0.48096192384769537,8.458829895818079
3,0.501002004008016,8.450024525091617
3,0.5210420841683366,8.460780244285914
3,0.5410821643286573,8.490714502542025
3,0.561122244488978,8.538762621989441
3,0.5811623246492985,8.603215665361114
3,0.6012024048096192,8.681781218113885
3,0.6212424849699398,8.771664923204241
3,0.6412825651302605,8.86966986855537
3,0.6613226452905812,8.972310292281234
3,0.6813627254509017,9.07593556149072
3,0.7014028056112224,9.176860015092473
3,0.721442885771543,9.271494052454871
3,0.7414829659318637,9.356471805464036
3,0.7615230460921844,9.42877085304173
3,0.7815631262525049,9.485819720212477
3,0.8016032064128256,9.525589338278644
3,0.8216432865731462,9.546665213120765
3,0.8416833667334669,9.548297734798481
3,0.8617234468937875,9.53042883908022
3,0.8817635270541081,9.493694072625559
3,0.9018036072144288,9.439399988367533
3,0.9218436873747494,9.3694776750779
3,0.9418837675350701,9.28641407393881
3,0.9619238476953907,9.193163524998422
3,0.9819639278557113,9.09304268955565
