Chapter,Topic,Primary source,Supporting source 1,Supporting source 2,Additional source,Visual source,Status
3,3.14 Chemistry of the Noble Gases,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 3.1,Verified for course use
4,4.1 Comparing Ionic and Molecular Compounds,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 4.1,Verified for course use
4,4.2 Covalent Bond Formation,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 4.1,Verified for course use
4,4.3 Strengths of Covalent Bonds,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 4.1,Verified for course use
4,4.4 Polar Covalent Bonds: Electronegativity,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 4.1,Verified for course use
4,4.5 Naming Molecular Compounds,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 4.1,Verified for course use
4,4.6 Electron-Dot Structures,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 4.1,Verified for course use
4,4.7 Electron-Dot Structures of Compounds Containing Hydrogen and Second-Row Elements,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 4.1,Verified for course use
4,4.8 Electron-Dot Structures of Compounds Containing Elements Below the Second Row,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 4.1,Verified for course use
4,4.9 Electron-Dot Structures and Resonance,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 4.1,Verified for course use
4,4.10 Electron-Dot Structures and Formal Charge,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 4.1,Verified for course use
5,5.1 Molecular Shape: The VSEPR Model,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 5.1,Verified for course use
5,5.2 Valence Bond Theory,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 5.1,Verified for course use
5,5.3 Hybridization and sp³ Hybrid Orbitals,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 5.1,Verified for course use
5,5.4 Other Kinds of Hybrid Orbitals,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 5.1,Verified for course use
5,5.5 Molecular Orbital Theory: The Hydrogen Molecule,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 5.1,Verified for course use
5,5.6 Molecular Orbital Theory: Other Diatomic Molecules,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 5.1,Verified for course use
5,5.7 Combining Valence Bond Theory and Molecular Orbital Theory,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 5.1,Verified for course use
6,6.1 Chemical Symbols on Different Levels,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 6.1,Verified for course use
6,6.2 Balancing Chemical Equations,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 6.1,Verified for course use
6,6.3 Stoichiometry: The Arithmetic of Chemical Reactions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 6.1,Verified for course use
6,6.4 Yields of Chemical Reactions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 6.1,Verified for course use
6,6.5 Reactions with Limiting Amounts of Reactants,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 6.1,Verified for course use
6,6.6 Percent Composition and Empirical Formulas of Compounds,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 6.1,Verified for course use
6,6.7 Determining Empirical Formulas by Elemental Analysis,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 6.1,Verified for course use
6,6.8 Concentrations of Reactants in Solution: Molarity,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 6.1,Verified for course use
6,6.9 Diluting Concentrated Solutions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 6.1,Verified for course use
6,6.10 Reaction Stoichiometry in Solutions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 6.1,Verified for course use
6,6.11 Finding the Concentration of a Solution: Titration,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 6.1,Verified for course use
7,7.1 Electrolytes in Aqueous Solution,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 7.1,Verified for course use
7,7.2 Some Ways That Chemical Reactions Occur,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 7.1,Verified for course use
7,7.3 Aqueous Reactions and Net Ionic Equations,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 7.1,Verified for course use
7,7.4 Precipitation Reactions and Solubility Guidelines,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 7.1,Verified for course use
7,"7.5 Acids, Bases, and Neutralization Reactions",PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 7.1,Verified for course use
7,7.6 Oxidation–Reduction Reactions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 7.1,Verified for course use
7,7.7 Identifying Redox Reactions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 7.1,Verified for course use
7,7.8 The Activity Series of the Elements,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 7.1,Verified for course use
7,7.9 Balancing Redox Reactions by the Half-Reaction Method,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 7.1,Verified for course use
7,7.10 Redox Titrations,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 7.1,Verified for course use
7,7.11 Applications of Redox Reactions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 7.1,Verified for course use
8,8.1 Energy and Its Conservation,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 8.1,Verified for course use
8,8.2 Internal Energy of Molecules: State Functions,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 8.1,Verified for course use
8,8.3 Expansion Work Done by Reactions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 8.1,Verified for course use
8,8.4 Internal Energy and Enthalpy of Molecules,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 8.1,Verified for course use
8,8.5 Measuring Heat Transfer: Calorimetry and Heat Capacity,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 8.1,Verified for course use
8,8.6 The Thermodynamic Standard State,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 8.1,Verified for course use
8,8.7 Enthalpies of Physical and Chemical Change,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 8.1,Verified for course use
8,8.8 Calculating Enthalpy Changes Using Hess’s Law,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 8.1,Verified for course use
8,8.9 Calculating Enthalpy Changes Using Standard Heats of Formation,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 8.1,Verified for course use
8,8.10 Calculating Enthalpy Changes Using Bond Dissociation Energies,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 8.1,Verified for course use
8,8.11 Fossil Fuels and Heats of Combustion,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 8.1,Verified for course use
8,8.12 An Introduction to Entropy,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 8.1,Verified for course use
8,8.13 An Introduction to Free Energy,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 8.1,Verified for course use
9,9.1 Gases and Gas Pressure,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 9.1,Verified for course use
9,9.2 The Gas Laws,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 9.1,Verified for course use
9,9.3 The Ideal Gas Law,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 9.1,Verified for course use
9,9.4 Stoichiometric Relationships with Gases,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 9.1,Verified for course use
9,9.5 Mixtures of Gases: Partial Pressure and Dalton’s Law,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 9.1,Verified for course use
9,9.6 The Kinetic–Molecular Theory of Gases,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 9.1,Verified for course use
9,9.7 Gas Diffusion and Effusion: Graham’s Law,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 9.1,Verified for course use
9,9.8 The Behavior of Real Gases,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 9.1,Verified for course use
9,9.9 The Earth’s Atmosphere,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 9.1,Verified for course use
10,10.1 Polar Covalent Bonds and Dipole Moments,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 10.1,Verified for course use
10,10.2 Kinds of Intermolecular Forces,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 10.1,Verified for course use
10,10.3 Some Properties of Liquids,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 10.1,Verified for course use
10,"10.4 Phase Changes Between Solids, Liquids, and Gases",PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 10.1,Verified for course use
10,"10.5 Evaporation, Vapor Pressure, and Boiling Point",PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 10.1,Verified for course use
10,10.6 Kinds of Solids,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 10.1,Verified for course use
10,10.7 Probing the Structure of Solids: X-Ray Crystallography,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 10.1,Verified for course use
10,10.8 Packing of Spheres in Crystalline Solids: Unit Cells,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 10.1,Verified for course use
10,10.9 Structures of Some Ionic Solids,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 10.1,Verified for course use
10,10.10 Structures of Some Covalent Network Solids,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 10.1,Verified for course use
10,10.11 Phase Diagrams,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 10.1,Verified for course use
11,11.1 Solutions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 11.1,Verified for course use
11,11.2 Energy Changes and the Solution Process,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 11.1,Verified for course use
11,11.3 Concentration Units for Solutions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 11.1,Verified for course use
11,11.4 Factors That Affect Solubility,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 11.1,Verified for course use
11,11.5 Physical Behavior of Solutions: Colligative Properties,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 11.1,Verified for course use
11,11.6 Vapor-Pressure Lowering of Solutions: Raoult’s Law,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 11.1,Verified for course use
11,11.7 Boiling-Point Elevation and Freezing-Point Depression,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 11.1,Verified for course use
11,11.8 Osmosis and Osmotic Pressure,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 11.1,Verified for course use
11,11.9 Uses of Colligative Properties,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 11.1,Verified for course use
11,11.10 Fractional Distillation of Liquid Mixtures,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 11.1,Verified for course use
12,12.1 Rates of Chemical Reactions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.2 Rate Laws and Reaction Order,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.3 Determining a Rate Law: The Method of Initial Rates,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.4 First-Order Reactions: The Integrated Rate Law,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.5 First-Order Reactions: Half-Life,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.6 First-Order Reactions: Radioactive Decay,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.7 Second-Order Reactions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.8 Zeroth-Order Reactions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.9 Reaction Rates and Temperature: Collision Theory and the Arrhenius Equation,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.10 Using the Arrhenius Equation,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.11 Reaction Mechanisms,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.12 Rate Laws for Elementary Reactions,PT1,ST1,ST2,IUPAC periodic table,Original SVG Figure 12.1,Verified for course use
12,12.13 Rate Laws for Overall Reactions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.14 Catalysis,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
12,12.15 Homogeneous and Heterogeneous Catalysts,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 12.1,Verified for course use
13,13.1 The State of Chemical Equilibrium,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 13.1,Verified for course use
13,13.2 The Equilibrium Constant Kc,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 13.1,Verified for course use
13,13.3 The Link between Chemical Equilibrium and Chemical Kinetics,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 13.1,Verified for course use
13,13.4 The Equilibrium Constant Kp,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 13.1,Verified for course use
13,13.5 Heterogeneous Equilibria,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 13.1,Verified for course use
13,13.6 Using the Equilibrium Constant,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 13.1,Verified for course use
13,13.7 Le Châtelier’s Principle,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 13.1,Verified for course use
13,13.8 Effect of Concentration Changes on Equilibrium,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 13.1,Verified for course use
13,13.9 Effect of Pressure and Volume Changes on Equilibrium,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 13.1,Verified for course use
13,13.10 Effect of Temperature Changes on Equilibrium,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 13.1,Verified for course use
13,13.11 Effect of a Catalyst on Equilibrium,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 13.1,Verified for course use
14,14.1 Acid–Base Concepts: The Brønsted–Lowry Theory,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.2 Acid Strength and Base Strength,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.3 Factors That Affect Acid Strength,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.4 Dissociation of Water,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.5 The pH Scale,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.6 Measuring pH,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.7 pH in Solutions of Strong Acids and Strong Bases,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.8 Equilibria in Solutions of Weak Acids,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.9 Calculating Equilibrium Concentrations in Weak-Acid Solutions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.10 Percent Dissociation in Solutions of Weak Acids,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.11 Equilibria in Solutions of Polyprotic Acids,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.12 Equilibria in Solutions of Weak Bases,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.13 Relation between Ka and Kb,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.14 Acid–Base Properties of Salts,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
14,14.15 Lewis Acids and Bases,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 14.1,Verified for course use
15,15.1 Neutralization Reactions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.2 The Common-Ion Effect,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.3 Buffer Solutions,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.4 The Henderson–Hasselbalch Equation,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.5 pH Titration Curves,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.6 Strong Acid–Strong Base Titrations,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.7 Weak Acid–Strong Base Titrations,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.8 Weak Base–Strong Acid Titrations,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.9 Polyprotic Acid–Strong Base Titrations,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.10 Solubility Equilibria for Ionic Compounds,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.11 Measuring Ksp and Calculating Solubility from Ksp,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.12 Factors That Affect Solubility,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.13 Precipitation of Ionic Compounds,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.14 Separation of Ions by Selective Precipitation,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
15,15.15 Qualitative Analysis,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 15.1,Verified for course use
16,16.1 Spontaneous Processes,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 16.1,Verified for course use
16,"16.2 Enthalpy, Entropy, and Spontaneous Processes: A Review",PT1,ST1,ST2,NIST WebBook,Original SVG Figure 16.1,Verified for course use
16,16.3 Entropy and Probability,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 16.1,Verified for course use
16,16.4 Entropy and Temperature,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 16.1,Verified for course use
16,16.5 Standard Molar Entropies and Standard Entropies of Reaction,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 16.1,Verified for course use
16,16.6 Entropy and the Second Law of Thermodynamics,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 16.1,Verified for course use
16,16.7 Free Energy and the Spontaneity of Chemical Reactions,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 16.1,Verified for course use
16,16.8 Standard Free-Energy Changes for Reactions,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 16.1,Verified for course use
16,16.9 Standard Free Energies of Formation,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 16.1,Verified for course use
16,16.10 Free-Energy Changes under Nonstandard Conditions,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 16.1,Verified for course use
16,16.11 Free Energy and Chemical Equilibrium,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 16.1,Verified for course use
17,17.1 Galvanic Cells,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.2 Shorthand Notation for Galvanic Cells,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.3 Cell Potentials and Free-Energy Changes,PT1,ST1,ST2,NIST WebBook,Original SVG Figure 17.1,Verified for course use
17,17.4 Standard Reduction Potentials,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.5 Using Standard Reduction Potentials,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.6 Cell Potentials under Nonstandard Conditions: The Nernst Equation,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.7 Electrochemical Determination of pH,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.8 Standard Cell Potentials and Equilibrium Constants,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.9 Batteries,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.10 Fuel Cells,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.11 Corrosion,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.12 Electrolysis and Electrolytic Cells,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.13 Commercial Applications of Electrolysis,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
17,17.14 Quantitative Aspects of Electrolysis,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 17.1,Verified for course use
18,18.1 Hydrogen,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 18.1,Verified for course use
18,18.2 Preparation and Uses of Hydrogen,PT1,ST1,ST2,OpenStax Chemistry 2e,Original SVG Figure 18.1,Verified for course use
